stress_axis,stress_level,method,goal_success,ci95_success,late_success,unsafe_failure,stale_execution,total_cost,half_life_error,safety_utility
drift_rate,0.00,domain_randomized_clone,0.53687,0.02299,0.28750,0.17250,0.56938,1.14663,0.64073,0.17096
drift_rate,0.00,conformal_risk_gate,0.78812,0.02110,0.77250,0.00188,0.00000,1.09204,0.07859,0.77359
drift_rate,0.00,ensemble_uncertainty_gate,0.78812,0.02133,0.73750,0.00313,0.00000,1.09586,0.08836,0.77195
drift_rate,0.00,bayesian_skill_survival,0.81375,0.00770,0.79250,0.00313,0.00000,1.10711,0.12359,0.79600
drift_rate,0.00,cvar_lifetime_guard,0.82625,0.01896,0.81000,0.00125,0.00000,1.15644,0.09510,0.80325
drift_rate,0.00,skill_half_life_scheduler_v5,0.80813,0.01484,0.81000,0.00313,0.00000,1.09328,0.12389,0.79232
drift_rate,0.00,oracle_shift_aware_scheduler,0.83375,0.01541,0.84500,0.00313,0.00000,1.10097,0.00000,0.81686
drift_rate,0.25,domain_randomized_clone,0.53000,0.02301,0.27250,0.19875,0.57188,1.16894,0.65416,0.13701
drift_rate,0.25,conformal_risk_gate,0.78375,0.01440,0.76000,0.00500,0.00000,1.09662,0.07672,0.76582
drift_rate,0.25,ensemble_uncertainty_gate,0.82000,0.02594,0.80000,0.00313,0.00000,1.09644,0.08817,0.80375
drift_rate,0.25,bayesian_skill_survival,0.81500,0.01214,0.78750,0.00250,0.00000,1.10806,0.12227,0.79767
drift_rate,0.25,cvar_lifetime_guard,0.82562,0.03096,0.84250,0.00063,0.00000,1.16181,0.09435,0.80242
drift_rate,0.25,skill_half_life_scheduler_v5,0.79312,0.02299,0.77750,0.00313,0.00000,1.09410,0.12548,0.77720
drift_rate,0.25,oracle_shift_aware_scheduler,0.83625,0.01526,0.82250,0.00125,0.00000,1.10090,0.00000,0.82102
drift_rate,0.50,domain_randomized_clone,0.50313,0.02027,0.30250,0.20375,0.57500,1.17319,0.66893,0.10408
drift_rate,0.50,conformal_risk_gate,0.79688,0.01706,0.77750,0.00125,0.00000,1.09402,0.07645,0.78261
drift_rate,0.50,ensemble_uncertainty_gate,0.80188,0.01403,0.79750,0.00188,0.00000,1.09681,0.08793,0.78667
drift_rate,0.50,bayesian_skill_survival,0.82812,0.01676,0.80250,0.00125,0.00000,1.10842,0.11804,0.81185
drift_rate,0.50,cvar_lifetime_guard,0.82500,0.01703,0.83750,0.00000,0.00000,1.16367,0.08982,0.80209
drift_rate,0.50,skill_half_life_scheduler_v5,0.80688,0.02426,0.78000,0.00250,0.00000,1.09478,0.12798,0.79141
drift_rate,0.50,oracle_shift_aware_scheduler,0.83063,0.01678,0.80000,0.00125,0.00000,1.10168,0.00000,0.81529
drift_rate,0.75,domain_randomized_clone,0.52000,0.02213,0.30000,0.20312,0.57750,1.17266,0.67245,0.12073
drift_rate,0.75,conformal_risk_gate,0.80688,0.01928,0.80750,0.00250,0.00000,1.09673,0.07428,0.79113
