split,skill,seed,step,true_half_life,shift_norm,observed_norm,sensor_noise,mode_signal,probe_cost
nominal_slow_drift,pick_place,0,0,26.18615,0.06198,0.06688,0.03200,0.01270,0.06000
nominal_slow_drift,pick_place,0,1,25.63230,0.07251,0.06122,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,2,24.71392,0.09102,0.08233,0.03200,0.02256,0.06000
nominal_slow_drift,pick_place,0,3,23.76507,0.11164,0.11291,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,4,25.88577,0.06763,0.06012,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,5,25.27358,0.07958,0.13270,0.03200,0.04887,0.06000
nominal_slow_drift,pick_place,0,6,25.75421,0.07015,0.07666,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,7,25.77273,0.06980,0.04987,0.03200,0.05221,0.06000
nominal_slow_drift,pick_place,0,8,25.64539,0.07226,0.04513,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,9,25.80229,0.06923,0.04746,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,10,25.38276,0.07741,0.10559,0.03200,0.01493,0.06000
nominal_slow_drift,pick_place,0,11,26.68820,0.05281,0.09736,0.03200,0.02828,0.06000
nominal_slow_drift,pick_place,0,12,25.68607,0.07147,0.03269,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,13,26.64392,0.05360,0.06031,0.03200,0.02296,0.06000
nominal_slow_drift,pick_place,0,14,27.93404,0.03147,0.01608,0.03200,0.03421,0.06000
nominal_slow_drift,pick_place,0,15,26.70128,0.05257,0.13632,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,16,26.33447,0.05923,0.10647,0.03200,0.02006,0.06000
nominal_slow_drift,pick_place,0,17,27.00994,0.04711,0.04362,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,18,27.72514,0.03492,0.05624,0.03200,0.00703,0.06000
nominal_slow_drift,pick_place,0,19,27.49221,0.03882,0.06312,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,20,26.95756,0.04803,0.09811,0.03200,0.03712,0.06000
nominal_slow_drift,pick_place,0,21,27.30186,0.04205,0.04193,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,22,26.83684,0.05016,0.05560,0.03200,0.04089,0.06000
nominal_slow_drift,pick_place,0,23,27.66987,0.03583,0.04431,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,24,27.44495,0.03962,0.04329,0.03200,0.01504,0.06000
nominal_slow_drift,pick_place,0,25,26.81657,0.05052,0.06614,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,26,26.64054,0.05366,0.05641,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,27,26.54203,0.05544,0.07115,0.03200,0.03930,0.06000
nominal_slow_drift,pick_place,0,28,25.97548,0.06593,0.10302,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,29,26.12731,0.06307,0.07508,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,30,26.23116,0.06114,0.10431,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,31,26.16619,0.06235,0.06864,0.03200,0.00179,0.06000
nominal_slow_drift,pick_place,0,32,26.53157,0.05563,0.07840,0.03200,0.03033,0.06000
nominal_slow_drift,pick_place,0,33,25.68494,0.07149,0.08050,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,34,26.43988,0.05730,0.03848,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,35,26.59831,0.05442,0.02513,0.03200,0.01454,0.06000
nominal_slow_drift,pick_place,0,36,25.18700,0.08132,0.06039,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,37,25.20199,0.08101,0.09146,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,38,25.67785,0.07163,0.04412,0.03200,0.00399,0.06000
nominal_slow_drift,pick_place,0,39,22.77427,0.13501,0.13262,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,40,24.92625,0.08662,0.14055,0.03200,0.04335,0.06000
nominal_slow_drift,pick_place,0,41,23.95827,0.10731,0.13063,0.03200,0.00224,0.06000
nominal_slow_drift,pick_place,0,42,24.39824,0.09770,0.14363,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,43,23.37127,0.12069,0.13875,0.03200,0.00922,0.06000
nominal_slow_drift,pick_place,0,44,23.01582,0.12913,0.07757,0.03200,0.00000,0.06000
nominal_slow_drift,pick_place,0,45,22.62246,0.13877,0.17659,0.03200,0.00000,0.06000
